factory,factory_count
org.knime.base.node.preproc.groupby.GroupByNodeFactory,171
org.knime.base.node.preproc.joiner3.Joiner3NodeFactory,97
org.knime.js.base.node.quickform.filter.value.ValueFilterQuickFormNodeFactory,94
org.knime.base.node.preproc.constantvalue.ConstantValueColumnNodeFactory,82
org.knime.ext.jep.JEPNodeFactory,78
org.knime.base.node.preproc.append.row.AppendedRowsNodeFactory,73
org.knime.base.node.preproc.filter.column.DataColumnSpecFilterNodeFactory,63
org.knime.base.node.rules.engine.RuleEngineFilterNodeFactory,60
org.knime.base.node.rules.engine.RuleEngineNodeFactory,53
org.knime.base.node.preproc.rename.RenameNodeFactory,39
org.knime.base.node.preproc.filter.row3.RowFilterNodeFactory,38
org.knime.base.node.preproc.filter.row.RowFilterNodeFactory,38
org.knime.database.node.io.reader.query.DBQueryReaderNodeFactory,37
org.knime.base.node.preproc.column.renamer.ColumnRenamerNodeFactory,37
org.knime.database.extension.postgres.node.connector.PostgreSQLDBConnectorNodeFactory,36
org.knime.base.node.preproc.colcombine2.ColCombine2NodeFactory,32
org.knime.base.node.preproc.pivot.Pivot2NodeFactory,29
org.knime.base.node.preproc.columnresorter.ColumnResorterNodeFactory,26
org.knime.base.node.preproc.unpivot2.Unpivot2NodeFactory,26
org.knime.base.node.io.filehandling.csv.writer.CSVWriter2NodeFactory,26
org.knime.base.node.io.filehandling.csv.reader.CSVTableReaderNodeFactory,24
org.knime.base.node.preproc.pmml.missingval.compute.MissingValueHandlerNodeFactory,23
org.knime.base.node.meta.xvalidation.XValidatePartitionerFactory,18
org.knime.ext.poi3.node.io.filehandling.excel.writer.ExcelTableWriterNodeFactory,18
org.knime.base.node.preproc.equalsizesampling.EqualSizeSamplingNodeFactory,18
org.knime.base.node.mine.scorer.accuracy.AccuracyScorer2NodeFactory,18
org.knime.base.node.meta.xvalidation.AggregateOutputNodeFactory,18
org.knime.base.node.preproc.stringmanipulation.StringManipulationNodeFactory,16
org.knime.base.node.preproc.colconvert.stringtonumber2.StringToNumber2NodeFactory,15
org.knime.expressions.base.node.formulas.FormulasNodeFactory,12
org.knime.time.node.calculate.datetimedifference.DateTimeDifferenceNodeFactory,10
org.knime.time.node.manipulate.datetimeshift.DateTimeShiftNodeFactory,8
org.knime.python3.scripting.nodes2.script.PythonScriptNodeFactory,7
org.knime.base.node.preproc.cellsplit2.CellSplitter2NodeFactory,7
org.knime.base.node.preproc.duplicates.DuplicateRowFilterNodeFactory,6
org.knime.ext.poi3.node.io.filehandling.excel.reader.ExcelTableReaderNodeFactory,6
org.knime.time.node.convert.stringtodatetime.StringToDateTimeNodeFactory2,5
org.knime.base.node.preproc.sorter.SorterNodeFactory,5
org.knime.base.views.node.lineplot.LinePlotNodeFactory,4
org.knime.time.node.filter.datetimebasedrowfilter.DateTimeBasedRowFilterNodeFactory,4
org.knime.base.node.io.filehandling.csv.reader.FileReaderNodeFactory,4
org.knime.base.node.mine.regression.logistic.learner4.LogRegLearnerNodeFactory4,3
org.knime.base.node.mine.treeensemble2.node.randomforest.learner.classification.RandomForestClassificationLearnerNodeFactory2,3
org.knime.time.node.calculate.datetimedifference.DateTimeDifferenceNodeFactory2,3
org.knime.base.node.mine.decisiontree2.learner2.DecisionTreeLearnerNodeFactory3,3
org.knime.base.views.node.roccurve.ROCCurveNodeFactory,3
org.knime.base.node.mine.svm.learner.SVMLearnerNodeFactory2,3
org.knime.base.node.mine.svm.predictor2.SVMPredictorNodeFactory,3
org.knime.base.node.mine.decisiontree2.predictor2.DecTreePredictorNodeFactory,3
